P_baja,eps_cond,clasificacion,eta,O2_margen,T_sat_L,T9_amb,margen_O1,margen_S5,criterio_ligante,margen_ligante,motor_confirmado
460.0,0.87,CORREGIBLE,0.1224660844128293,-3.645624769078324,325.41456512689376,329.0601898959721,0.0059198587325045,5.854519277504551,O2,-3.645624769078324,
460.0,0.89,CORREGIBLE,0.121178782594759,-2.1444295178249604,325.41456512689376,327.5589946447187,0.0059421972311756,5.937504575296543,O2,-2.1444295178249604,
460.0,0.91,CORREGIBLE,0.1196207741355301,-0.702983244402617,325.41456512689376,326.1175483712964,0.0059637319139097,6.017530323938047,O2,-0.702983244402617,
460.0,0.93,KALINA,0.1179863850128459,2.7748262403658828,325.41456512689376,322.6397388865279,0.0059847056187015,6.095497652879999,O1,0.0059847056187015,
460.0,0.95,KALINA,0.1164205755406731,8.307625410021899,325.41456512689376,317.10693971687186,0.0060053027329856,6.172088003632439,O1,0.0060053027329856,
480.0,0.85,CORREGIBLE,0.1211116638966285,-4.883601609313757,326.82064741792584,331.7042490272396,0.0073783924371776,5.767918411779249,O2,-4.883601609313757,
480.0,0.87,CORREGIBLE,0.1200698960653187,-3.3179509139343395,326.82064741792584,330.1385983318602,0.0074012534650605,5.853854704881883,O2,-3.3179509139343395,
480.0,0.89,CORREGIBLE,0.1187351051070209,-1.814156609061854,326.82064741792584,328.6348040269877,0.0074232864866463,5.936704437381536,O2,-1.814156609061854,
480.0,0.91,CORREGIBLE,0.1171437747140417,-0.3703013150731635,326.82064741792584,327.190948732999,0.0074445430927808,6.016660743957687,O2,-0.3703013150731635,
480.0,0.93,KALINA,0.1155388775434501,4.129419758904817,326.82064741792584,322.691227659021,0.0074653198639881,6.09483920605453,O1,0.0074653198639881,
480.0,0.95,KALINA,0.114001445165092,9.67712877157254,326.82064741792584,317.1435186463533,0.0074857238088383,6.171635948155767,O1,0.0074857238088383,
500.0,0.85,CORREGIBLE,0.1188329108870101,-4.566968645729901,328.1834117350352,332.7503803807651,0.0088151829592221,5.767342847304292,O2,-4.566968645729901,
500.0,0.87,CORREGIBLE,0.1177440135868451,-2.998628809352965,328.1834117350352,331.18204054438814,0.0088377356401085,5.853139814897816,O2,-2.998628809352965,
500.0,0.89,CORREGIBLE,0.1163636181137786,-1.492376288333901,328.1834117350352,329.6757880233691,0.0088594715769023,5.935859995185581,O2,-1.492376288333901,
500.0,0.91,CORREGIBLE,0.1147571307235066,-0.0461972423018437,328.1834117350352,328.229608977337,0.0088804760977002,6.015824704336467,O2,-0.0461972423018437,
500.0,0.93,KALINA,0.1131808274920506,5.442576730249868,328.1834117350352,322.7408350047853,0.0089010574980702,6.094206550199885,O1,0.0089010574980702,
500.0,0.95,KALINA,0.1116709041619268,11.004650881269242,328.1834117350352,317.17876085376594,0.0089212684742494,6.171202103793121,O1,0.0089212684742494,
